source_number,project,source_id,spectrum_number,spectrum_file,grating,oiii_snr,ha_snr,reviewer,evaluation,timestamp
1,GLIMPSE,GLIMPSE_9223_329380,1,glimpse-obs01b-v4_g395m-f290lp_9223_329380.spec.fits,G395M,108.21240540401428,99.58215269186255,,,
2,AURORA,AURORA_1914_4740,1,aurora-gdn01-v4_g235m-f170lp_1914_4740.spec.fits,G235M,91.25455823514015,104.71646395231706,,,
2,AURORA,AURORA_1914_4740,2,aurora-gdn01-v4_g140m-f100lp_1914_4740.spec.fits,G140M,103.44103878778093,,,,
2,AURORA,AURORA_1914_4740,3,aurora-gdn01-v4_g395m-f290lp_1914_4740.spec.fits,G395M,,15.422715141926188,,,
3,VALENTINO,VALENTINO_3567_793,1,valentino-obs10-v4_g235m-f170lp_3567_793.spec.fits,G235M,103.30481140324622,93.53477050180118,,,
4,MACS1149,MACS1149_2758_60001,1,macs1149-stiavelli2-v4_g395m-f290lp_2758_60001.spec.fits,G395M,87.75022470443301,102.3427228315825,,,
4,MACS1149,MACS1149_2758_60001,2,macs1149-stiavelli2-v4_g235m-f170lp_2758_60001.spec.fits,G235M,91.90191714075688,99.96476069082779,,,
5,CECILIA,CECILIA_2593_4,1,cecilia-v4_g235m-f170lp_2593_4.spec.fits,G235M,70.77778703193245,101.4590630990177,,,
5,CECILIA,CECILIA_2593_4,2,cecilia-v4_g395m-f290lp_2593_4.spec.fits,N/A,,,,,
6,JADES,JADES_1181_68797,1,jades-gdn198-v4_g395h-f290lp_1181_68797.spec.fits,G395H,75.43051088176624,100.48263385679269,,,
6,JADES,JADES_1181_68797,2,jades-gdn-v4_g395h-f290lp_1181_68797.spec.fits,G395H,79.76085277954358,88.01518533037839,,,
6,JADES,JADES_1181_68797,3,jades-gdn-v4_g395m-f290lp_1181_68797.spec.fits,G395M,54.52582041949935,79.29559553638072,,,
6,JADES,JADES_1181_68797,4,jades-gdn198-v4_g395m-f290lp_1181_68797.spec.fits,G395M,58.323073610101105,75.651220760722,,,
6,JADES,JADES_1181_68797,5,jades-gdn-v4_g235m-f170lp_1181_68797.spec.fits,G235M,61.37634517899341,,,,
6,JADES,JADES_1181_68797,6,jades-gdn198-v4_g235m-f170lp_1181_68797.spec.fits,G235M,59.48473123771151,,,,
6,JADES,JADES_1181_68797,7,jades-gdn198-v4_prism-clear_1181_68797.spec.fits,PRISM,54.3264242774021,,,,
6,JADES,JADES_1181_68797,8,jades-gdn-v4_prism-clear_1181_68797.spec.fits,PRISM,53.403542648279625,,,,
6,JADES,JADES_1181_68797,9,jades-gdn-v4_g140m-f070lp_1181_68797.spec.fits,N/A,,,,,
6,JADES,JADES_1181_68797,10,jades-gdn198-v4_g140m-f070lp_1181_68797.spec.fits,N/A,,,,,
