source_number,project,source_id,n_spectra,snr_score,page,n_failed
1,GLIMPSE,GLIMPSE_9223_329380,1,108.21240540401428,0001_GLIMPSE_9223_329380.html,0
2,AURORA,AURORA_1914_4740,3,104.71646395231706,0002_AURORA_1914_4740.html,0
3,VALENTINO,VALENTINO_3567_793,1,103.30481140324622,0003_VALENTINO_3567_793.html,0
4,MACS1149,MACS1149_2758_60001,2,102.3427228315825,0004_MACS1149_2758_60001.html,0
5,CECILIA,CECILIA_2593_4,2,101.4590630990177,0005_CECILIA_2593_4.html,0
6,JADES,JADES_1181_68797,10,100.48263385679269,0006_JADES_1181_68797.html,0
7,AURORA,AURORA_1914_26798,3,99.7985556417551,0007_AURORA_1914_26798.html,0
8,BLUEJAY,BLUEJAY_1810_10314,3,99.72130915617574,0008_BLUEJAY_1810_10314.html,0
9,COSMOS,COSMOS_1879_1295,3,98.24241123205165,0009_COSMOS_1879_1295.html,0
10,AURORA,AURORA_1914_921842,3,97.71275936789172,0010_AURORA_1914_921842.html,0
11,MACS1149,MACS1149_2758_40149,2,95.29830766197415,0011_MACS1149_2758_40149.html,0
12,CECILIA,CECILIA_2593_25,2,95.20735750384937,0012_CECILIA_2593_25.html,0
13,BLUEJAY,BLUEJAY_1810_8002,3,93.39439206102173,0013_BLUEJAY_1810_8002.html,0
14,LYC22,LYC22_1869_2009,2,92.81988129604895,0014_LYC22_1869_2009.html,0
15,AURORA,AURORA_1914_8769,3,92.48020752327554,0015_AURORA_1914_8769.html,0
16,AURORA,AURORA_1914_927605,3,92.13901155362655,0016_AURORA_1914_927605.html,0
17,GS,GS-200679,3,92.1204119246852,0017_GS-200679.html,0
18,MACS1149,MACS1149_2758_60003,2,91.94936254432959,0018_MACS1149_2758_60003.html,0
19,BLUEJAY,BLUEJAY_1810_19945,3,91.73869957756295,0019_BLUEJAY_1810_19945.html,0
20,GLASS,GLASS_1324_160133,4,91.67917186985267,0020_GLASS_1324_160133.html,0
21,GS,GS-159438,5,91.0868830641502,0021_GS-159438.html,0
22,EXCELS,EXCELS_3543_67887,1,91.04973066457607,0022_EXCELS_3543_67887.html,0
23,BLUEJAY,BLUEJAY_1810_11337,3,90.99152614916098,0023_BLUEJAY_1810_11337.html,0
24,BLUEJAY,BLUEJAY_1810_12148,3,90.44479627796603,0024_BLUEJAY_1810_12148.html,0
25,VALENTINO,VALENTINO_3567_53035,1,89.37675372752358,0025_VALENTINO_3567_53035.html,0
26,JADES,JADES_1181_78773,5,88.84442550560195,0026_JADES_1181_78773.html,0
27,JADES,JADES_1181_23924,4,88.00843810104494,0027_JADES_1181_23924.html,0
28,VALENTINO,VALENTINO_3567_217057,1,87.74053861435239,0028_VALENTINO_3567_217057.html,0
29,LYC22,LYC22_1869_20013,2,86.94734601522812,0029_LYC22_1869_20013.html,0
30,GLIMPSE,GLIMPSE_9223_26653,1,86.15250368812477,0030_GLIMPSE_9223_26653.html,0
31,LYC22,LYC22_1869_20081,2,86.00074228458433,0031_LYC22_1869_20081.html,0
32,JADES,JADES_1181_28074,4,84.63971044520699,0032_JADES_1181_28074.html,0
33,VALENTINO,VALENTINO_3567_10480,1,84.02662080482517,0033_VALENTINO_3567_10480.html,0
34,MACS1149,MACS1149_1199_20024,2,81.48941232292484,0034_MACS1149_1199_20024.html,0
35,JADES,JADES_1181_11836,5,81.03188394116151,0035_JADES_1181_11836.html,0
36,GN,GN-29648,5,80.04896359713739,0036_GN-29648.html,0
37,BLUEJAY,BLUEJAY_1810_7102,3,79.95050665056728,0037_BLUEJAY_1810_7102.html,0
38,JADES,JADES_1286_30148179,9,79.52619543926185,0038_JADES_1286_30148179.html,0
39,EXCELS,EXCELS_3543_89922,1,78.69876405942084,0039_EXCELS_3543_89922.html,0
40,JADES,JADES_1181_34145,4,78.67979551003444,0040_JADES_1181_34145.html,0
41,CECILIA,CECILIA_2593_29,2,78.65671677299297,0041_CECILIA_2593_29.html,0
42,JADES,JADES_1286_179198,7,78.57840426251174,0042_JADES_1286_179198.html,0
43,GDS,GDS_1210_9515,5,77.80913202764235,0043_GDS_1210_9515.html,0
44,EXCELS,EXCELS_3543_42268,1,76.98604701727004,0044_EXCELS_3543_42268.html,0
45,RUBIES,RUBIES-UDS-48507,1,76.80704069717792,0045_RUBIES-UDS-48507.html,0
46,CANTALUPO,CANTALUPO_1835_2044,1,76.39652198824119,0046_CANTALUPO_1835_2044.html,0
47,BLUEJAY,BLUEJAY_1810_7185,3,76.18601150254628,0047_BLUEJAY_1810_7185.html,0
48,GLIMPSE,GLIMPSE_9223_34789,2,76.1813780992609,0048_GLIMPSE_9223_34789.html,0
49,JADES,JADES_1181_73488,5,75.75896145904098,0049_JADES_1181_73488.html,0
50,BLUEJAY,BLUEJAY_1810_8280,3,75.69964457301465,0050_BLUEJAY_1810_8280.html,0
51,AURORA,AURORA_1914_928583,3,75.40746862250838,0051_AURORA_1914_928583.html,0
52,VALENTINO,VALENTINO_3567_51909,1,74.8884730211719,0052_VALENTINO_3567_51909.html,0
53,COSMOS,COSMOS_4318_126891,2,74.71425996200655,0053_COSMOS_4318_126891.html,0
54,JADES,JADES_1286_180575,6,74.21733288192019,0054_JADES_1286_180575.html,0
55,GDN,GDN_2674_32,1,74.0778802460259,0055_GDN_2674_32.html,0
56,JADES,JADES_1181_64818,4,73.91489728419396,0056_JADES_1181_64818.html,0
57,RUBIES,RUBIES-UDS-153207,2,73.66866004841985,0057_RUBIES-UDS-153207.html,0
58,RUBIES,RUBIES-UDS-35974,2,72.80548353050469,0058_RUBIES-UDS-35974.html,0
59,CEERS,CEERS-397,6,72.7021564548593,0059_CEERS-397.html,0
60,EGS,EGS-34978,1,72.38443334754292,0060_EGS-34978.html,0
61,VALENTINO,VALENTINO_3567_24,1,71.92979055228282,0061_VALENTINO_3567_24.html,0
62,J0910,J0910_2028_14324,2,71.48252480565878,0062_J0910_2028_14324.html,0
