source_id,n_spectra,snr_score,page,n_failed
VALENTINO_3567_53035,1,89.37675372752358,0001_VALENTINO_3567_53035.html,0
CEERS-397,6,72.7021564548593,0002_CEERS-397.html,0
EGS-34978,1,72.38443334754292,0003_EGS-34978.html,0
EGS-952625,2,69.78912836385798,0004_EGS-952625.html,0
RUBIES_4233_50052,3,66.2153054768765,0005_RUBIES_4233_50052.html,0
RUBIES_4233_42046,2,63.11364659076059,0006_RUBIES_4233_42046.html,0
EGS_4106_47962,5,62.609426726219105,0007_EGS_4106_47962.html,0
RUBIES_4233_45502,2,59.57892060677465,0008_RUBIES_4233_45502.html,0
RUBIES-EGS-920,2,58.80035249229344,0009_RUBIES-EGS-920.html,0
RUBIES_4233_28812,4,55.766016130440505,0010_RUBIES_4233_28812.html,0
VALENTINO_3567_44021,4,54.815005552886134,0011_VALENTINO_3567_44021.html,0
RUBIES_4233_24210,2,53.56137608243478,0012_RUBIES_4233_24210.html,0
VALENTINO_3567_20910,1,51.85332612607312,0013_VALENTINO_3567_20910.html,0
RUBIES_4233_41926,1,51.16111641780044,0014_RUBIES_4233_41926.html,0
EGS-70473,1,48.00224292577879,0015_EGS-70473.html,0
RUBIES_4233_60935,2,46.54655896064552,0016_RUBIES_4233_60935.html,0
RUBIES-EGS-19174,2,46.19821469149055,0017_RUBIES-EGS-19174.html,0
EGS-17301,3,45.84049688261623,0018_EGS-17301.html,0
RUBIES_4233_926125,2,45.03053653143854,0019_RUBIES_4233_926125.html,0
EGS-966323,7,43.89041658398214,0020_EGS-966323.html,0
RUBIES_4233_42232,5,43.445283144995166,0021_RUBIES_4233_42232.html,0
RUBIES-EGS-50812,2,41.622704379076026,0022_RUBIES-EGS-50812.html,0
RUBIES_4233_13872,2,40.22623304409387,0023_RUBIES_4233_13872.html,0
RUBIES_4233_6411,2,40.108473816631786,0024_RUBIES_4233_6411.html,0
RUBIES_4233_55604,2,39.93396797651314,0025_RUBIES_4233_55604.html,0
EGS-53254,3,38.89796604849632,0026_EGS-53254.html,0
RUBIES_4233_925921,2,37.62201777600438,0027_RUBIES_4233_925921.html,0
RUBIES-EGS-17146,3,37.149029263272574,0028_RUBIES-EGS-17146.html,0
RUBIES_4233_41683,1,36.00162482056691,0029_RUBIES_4233_41683.html,0
EGS-927271,2,35.1829782273872,0030_EGS-927271.html,0
RUBIES_4233_37124,2,33.9128496537601,0031_RUBIES_4233_37124.html,0
RUBIES_4233_58237,3,33.91098830769085,0032_RUBIES_4233_58237.html,0
RUBIES_4233_29489,3,32.04421049969396,0033_RUBIES_4233_29489.html,0
RUBIES-EGS-46985,2,30.58797911013823,0034_RUBIES-EGS-46985.html,0
RUBIES_4233_25712,2,30.501242519295165,0035_RUBIES_4233_25712.html,0
EGS-931291,3,28.54384471321985,0036_EGS-931291.html,0
RUBIES_4233_61496,2,25.36801203920182,0037_RUBIES_4233_61496.html,0
RUBIES_4233_37032,2,25.3504026640557,0038_RUBIES_4233_37032.html,0
RUBIES_4233_15825,2,23.85484528634319,0039_RUBIES_4233_15825.html,0
EGS-959367,4,23.249427843601655,0040_EGS-959367.html,0
CEERS_1345_746,4,20.966180010458206,0041_CEERS_1345_746.html,0
CEERS-672,3,18.612343029772806,0042_CEERS-672.html,0
RUBIES_4233_42803,3,18.20616053477119,0043_RUBIES_4233_42803.html,0
EGS_4106_57146,2,16.209945393500014,0044_EGS_4106_57146.html,0
EGS-46724,4,12.998731960465971,0045_EGS-46724.html,0
VALENTINO_3567_40442,3,10.730715712394439,0046_VALENTINO_3567_40442.html,0
GTO_1213_3848,3,8.796565134868308,0047_GTO_1213_3848.html,0
RUBIES-EGS-45599,1,6.1595307337581815,0048_RUBIES-EGS-45599.html,0
