source_id,n_spectra,page,n_failed
GDN_4762_16620,2,0001_GDN_4762_16620.html,0
JADES_1181_25055,5,0002_JADES_1181_25055.html,0
SUSPENSE_2110_130040,1,0003_SUSPENSE_2110_130040.html,0
SUSPENSE_2110_128452,1,0004_SUSPENSE_2110_128452.html,0
JADES_1181_64818,4,0005_JADES_1181_64818.html,0
JADES_1180_44271,4,0006_JADES_1180_44271.html,0
SUSPENSE_2110_130647,1,0007_SUSPENSE_2110_130647.html,0
EXCELS_3543_69759,1,0008_EXCELS_3543_69759.html,0
GOODSN_1211_1795,3,0009_GOODSN_1211_1795.html,0
JADES_1181_23924,4,0010_JADES_1181_23924.html,0
JADES_1181_34145,4,0011_JADES_1181_34145.html,0
GOODSN_1211_4319,3,0012_GOODSN_1211_4319.html,0
EXCELS_3543_102901,2,0013_EXCELS_3543_102901.html,0
MACS1149_2758_150471,2,0014_MACS1149_2758_150471.html,0
BLUEJAY_1810_7185,3,0015_BLUEJAY_1810_7185.html,0
BLUEJAY_1810_19572,3,0016_BLUEJAY_1810_19572.html,0
GTO_1214_2937,3,0017_GTO_1214_2937.html,0
BLUEJAY_1810_8500,3,0018_BLUEJAY_1810_8500.html,0
GTO_1215_4250,3,0019_GTO_1215_4250.html,0
BLUEJAY_1810_16419,3,0020_BLUEJAY_1810_16419.html,0
JADES_1181_26194,5,0021_JADES_1181_26194.html,0
BLUEJAY_1810_18688,3,0022_BLUEJAY_1810_18688.html,0
CEERS_1345_2904,3,0023_CEERS_1345_2904.html,0
BLUEJAY_1810_18668,3,0024_BLUEJAY_1810_18668.html,0
BLUEJAY_1810_18977,3,0025_BLUEJAY_1810_18977.html,0
BLUEJAY_1810_12020,3,0026_BLUEJAY_1810_12020.html,0
BLUEJAY_1810_11337,3,0027_BLUEJAY_1810_11337.html,0
COSMOS_1879_2342,3,0028_COSMOS_1879_2342.html,0
BLUEJAY_1810_10314,3,0029_BLUEJAY_1810_10314.html,0
GTO_1214_1158,6,0030_GTO_1214_1158.html,0
GTO_1215_4909,3,0031_GTO_1215_4909.html,0
GDS_1207_209962,2,0032_GDS_1207_209962.html,0
CECILIA_2593_25,2,0033_CECILIA_2593_25.html,0
JADES_1181_27887,5,0034_JADES_1181_27887.html,0
GOODSN_1211_4151,3,0035_GOODSN_1211_4151.html,0
CECILIA_2593_29,2,0036_CECILIA_2593_29.html,0
GTO_1215_3088,5,0037_GTO_1215_3088.html,0
VALENTINO_3567_55536,2,0038_VALENTINO_3567_55536.html,0
JADES_1181_28074,4,0039_JADES_1181_28074.html,0
LYC22_1869_4096,2,0040_LYC22_1869_4096.html,0
VALENTINO_3567_71,1,0041_VALENTINO_3567_71.html,0
VALENTINO_3567_40904,1,0042_VALENTINO_3567_40904.html,0
AURORA_1914_5469,3,0043_AURORA_1914_5469.html,0
GTO_1215_3470,3,0044_GTO_1215_3470.html,0
GOODSN_1211_2460,3,0045_GOODSN_1211_2460.html,0
COSMOS_1879_1295,3,0046_COSMOS_1879_1295.html,0
JADES_1181_29711,4,0047_JADES_1181_29711.html,0
GDS_1671_37005,2,0048_GDS_1671_37005.html,0
CANTALUPO_1835_2044,1,0049_CANTALUPO_1835_2044.html,0
VALENTINO_3567_3285,1,0050_VALENTINO_3567_3285.html,0
VALENTINO_3567_5276,1,0051_VALENTINO_3567_5276.html,0
BLUEJAY_1810_11142,3,0052_BLUEJAY_1810_11142.html,0
CECILIA_2593_4,2,0053_CECILIA_2593_4.html,0
BLUEJAY_1810_12148,3,0054_BLUEJAY_1810_12148.html,0
VALENTINO_3567_54545,2,0055_VALENTINO_3567_54545.html,0
BLUEJAY_1810_19705,3,0056_BLUEJAY_1810_19705.html,0
VALENTINO_3567_54546,2,0057_VALENTINO_3567_54546.html,0
BLUEJAY_1810_19891,3,0058_BLUEJAY_1810_19891.html,0
GOODSN_1211_5243,3,0059_GOODSN_1211_5243.html,0
AURORA_1914_26798,3,0060_AURORA_1914_26798.html,0
VALENTINO_3567_136272,3,0061_VALENTINO_3567_136272.html,0
MACS1149_2758_150337,2,0062_MACS1149_2758_150337.html,0
BLUEJAY_1810_8280,3,0063_BLUEJAY_1810_8280.html,0
GTO_1213_9063,4,0064_GTO_1213_9063.html,0
VALENTINO_3567_24,1,0065_VALENTINO_3567_24.html,0
