distance_group_key,srcid,grade,z_use,z_best,z_phot,ztype
CEERS__source_id_fof_07978,42,,-1.0,-1.0,,
CEERS__source_id_fof_08722,80596,3.0,6.535983,6.535983,6.4121504,P
CEERS__source_id_fof_07927,196,,-1.0,-1.0,,
CEERS__source_id_fof_07850,4179,3.0,2.0065386,2.0065386,2.2423062,P
CEERS__source_id_fof_07874,8038,3.0,4.4033566,4.4033566,4.932799,P
CEERS__source_id_fof_07973,34,,-1.0,-1.0,,
CEERS__source_id_fof_08466,37041,,0.8858298,-1.0,0.8858298,
CEERS__source_id_fof_08122,14682,,0.2263469,-1.0,0.2263469,
CEERS__source_id_fof_08420,32792,,1.8584263,-1.0,1.8584263,
CEERS__source_id_fof_08406,31591,,1.5112836,-1.0,1.5112836,
CEERS__source_id_fof_08249,21913,3.0,2.1333075,2.1333075,0.058290824,P
CEERS__source_id_fof_07957,295,,-1.0,-1.0,,
CEERS__source_id_fof_08304,2552,3.0,3.094274,3.094274,0.49032214,P
CEERS__source_id_fof_08171,17301,,1.8951265,-1.0,1.8951265,
CEERS__source_id_fof_08694,80043,,0.52265036,-1.0,0.52265036,
CEERS__source_id_fof_08212,19334,3.0,1.8418713,1.8418713,1.8843601,P
CEERS__source_id_fof_08618,568,,7.8479123,-1.0,7.8479123,
CEERS__source_id_fof_08210,1912,3.0,5.088425,5.088425,5.1581206,P
CEERS__source_id_fof_08597,526,3.0,6.1028066,6.1028066,6.597357,P
CEERS__source_id_fof_08495,39974,3.0,0.74593866,0.74593866,0.75292206,P
CEERS__source_id_fof_08710,80374,3.0,7.1791587,7.1791587,7.2947063,P
CEERS__source_id_fof_08006,10318,3.0,2.4218771,2.4218771,2.4268644,P
CEERS__source_id_fof_08678,7719,3.0,1.3553499,1.3553499,1.1572993,P
CEERS__source_id_fof_07964,310,,-1.0,-1.0,,
CEERS__source_id_fof_07975,39,,-1.0,-1.0,,
CEERS__source_id_fof_08779,83779,3.0,4.29461,4.29461,4.681002,P
CEERS__source_id_fof_07880,8507,3.0,5.0884237,5.0884237,4.8625784,P
CEERS__source_id_fof_08268,22912,3.0,3.12221,3.12221,3.2257037,P
CEERS__source_id_fof_07925,180,,-1.0,-1.0,,
CEERS__source_id_fof_07834,2,3.0,4.9032645,4.9032645,3.3476872,P
CEERS__source_id_fof_08506,40660,3.0,0.8749636,0.8749636,0.67247915,P
CEERS__source_id_fof_08392,30771,3.0,1.4519641,1.4519641,1.4579657,P
CEERS__source_id_fof_05165,12761,3.0,3.0115744,3.0115744,2.9530656,P
CEERS__source_id_fof_07859,6438,3.0,0.9458309,0.9458309,0.95188576,P
CEERS__source_id_fof_08042,11699,3.0,3.300940433333333,3.300940433333333,3.336106,G
CEERS__source_id_fof_08404,31486,,-1.0,-1.0,,
CEERS__source_id_fof_08294,24702,3.0,1.5849061,1.5849061,1.6004483,P
CEERS__source_id_fof_08157,16772,,2.3038058,-1.0,2.3038058,
CEERS__source_id_fof_08285,2411,3.0,3.2274094,3.2274094,3.175551,P
CEERS__source_id_fof_08601,31,,1.3112448,-1.0,1.3112448,
CEERS__source_id_fof_08208,11,3.0,2.4530141,2.4530141,,G
CEERS__source_id_fof_08011,10593,3.0,3.340246025,3.340246025,3.3497124,G
CEERS__source_id_fof_07791,17161,3.0,1.5818065,1.5818065,1.5952404,P
CEERS__source_id_fof_08224,20406,3.0,2.1427224,2.1427224,2.3052428,P
CEERS__source_id_fof_07840,32325,3.0,2.3534489,2.3534489,2.4368718,P
CEERS__source_id_fof_08384,30373,1.0,2.4809391,-1.0,2.4809391,
CEERS__source_id_fof_08513,40,,0.8788639,-1.0,0.8788639,
CEERS__source_id_fof_08023,1102,3.0,6.9939847,6.9939847,6.593116,P
CEERS__source_id_fof_08693,80042,1.0,2.2855465,-1.0,2.2855465,
CEERS__source_id_fof_08220,19980,3.0,2.39486,2.39486,2.39079,P
CEERS__source_id_fof_08751,82135,3.0,5.3381653,5.3381653,0.51009923,P
CEERS__source_id_fof_08624,106,1.0,6.5791993,-1.0,6.5791993,
CEERS__source_id_fof_08771,83509,1.0,6.634093,-1.0,6.634093,
CEERS__source_id_fof_08553,439,3.0,7.183249,7.183249,7.2798176,P
CEERS__source_id_fof_08076,13282,3.0,3.4825377,3.4825377,3.517617,P
CEERS__source_id_fof_08811,85865,3.0,3.4787376,3.4787376,3.7727292,P
CEERS__source_id_fof_08581,4906,3.0,1.0058061323503962,1.0058061323503962,0.9672244,P
CEERS__source_id_fof_08475,376,,1.508947,-1.0,1.508947,
CEERS__source_id_fof_08322,26739,3.0,2.3726184,2.3726184,0.054882526,P
CEERS__source_id_fof_08837,9751,3.0,1.5981231,1.5981231,1.5098221,P
CEERS__source_id_fof_07780,1312,1.0,0.9286697,-1.0,0.9286697,
CEERS__source_id_fof_07876,813,2.0,1.1072174,-1.0,1.1072174,
CEERS__source_id_fof_08435,35028,,0.61339664,-1.0,0.61339664,
CEERS__source_id_fof_08041,11668,,-1.0,-1.0,,
CEERS__source_id_fof_07833,29955,3.0,2.0125573,2.0125573,2.146274,P
CEERS__source_id_fof_07926,190,,-1.0,-1.0,,
CEERS__source_id_fof_07977,41,,0.4782859,-1.0,0.4782859,
CEERS__source_id_fof_08792,84810,1.0,3.6586854,-1.0,3.6586854,
CEERS__source_id_fof_08147,16207,3.0,2.707246,2.707246,2.7231543,P
CEERS__source_id_fof_08807,85815,3.0,3.1895332,3.1895332,1.7024043,P
