distance_group_key,root,file,srcid,grade,z_use,z_best,z_phot,ztype,snr_ha_nii_cat,snr_oiii_hybrid_cat,oiii_cat_method
CEERS__source_id_fof_08542,ceers-v4,ceers-v4_prism-clear_1345_4317.spec.fits,4317,3.0,0.284055085,0.284055085,0.2628882,G,15.289437677011117,21.835263166302692,combined_line_oiii
CEERS__source_id_fof_08566,ceers-v4,ceers-v4_prism-clear_1345_45820.spec.fits,45820,3.0,0.50484425,0.50484425,0.4807185,P,21.002080586397124,23.116941801534065,combined_line_oiii
CEERS__source_id_fof_08546,ceers-v4,ceers-v4_prism-clear_1345_43440.spec.fits,43440,3.0,0.6468916,0.6468916,0.64540625,P,17.651985460157412,28.19977910238619,combined_line_oiii
CEERS__source_id_fof_08675,ceers-v4,ceers-v4_prism-clear_1345_7609.spec.fits,7609,3.0,0.66826993,0.66826993,0.65218455,P,13.293614709810639,17.630915861412387,combined_line_oiii
CEERS__source_id_fof_08514,ceers-v4,ceers-v4_prism-clear_1345_41002.spec.fits,41002,3.0,0.7407037,0.7407037,0.7335689,P,12.559937235405522,15.866221991584572,combined_line_oiii
CEERS__source_id_fof_08544,ceers-v4,ceers-v4_prism-clear_1345_43270.spec.fits,43270,3.0,0.91954696,0.91954696,0.8412704,P,16.019747706345363,22.05613237815171,combined_line_oiii
CEERS__source_id_fof_07859,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_6438.spec.fits,6438,3.0,0.9458309,0.9458309,0.95188576,P,12.92537509215501,13.714744439852346,combined_line_oiii
CEERS__source_id_fof_08679,ceers-v4,ceers-v4_prism-clear_1345_7808.spec.fits,7808,3.0,1.0468245,1.0468245,1.0385116,P,18.816504055843136,23.575852469191496,combined_line_oiii
CEERS__source_id_fof_08680,ceers-v4,ceers-v4_prism-clear_1345_7821.spec.fits,240,3.0,1.19455,1.19455,,P,23.370401820385048,8.022878699640911,combined_line_oiii
CEERS__source_id_fof_08293,ceers-v4,ceers-v4_prism-clear_1345_24669.spec.fits,24669,3.0,1.2069012,1.2069012,1.1728245,P,11.585354746420169,13.49653840932744,combined_line_oiii
CEERS__source_id_fof_06393,ceers-v4,ceers-v4_prism-clear_1345_26574.spec.fits,26574,3.0,1.21331,1.21331,1.2241169,P,24.761682872676303,28.085158242749454,combined_line_oiii
CEERS__source_id_fof_08278,ceers-v4,ceers-v4_prism-clear_1345_23542.spec.fits,23542,3.0,1.27712,1.27712,1.265056,G,31.090049692893565,18.790548463023217,combined_line_oiii
CEERS__source_id_fof_07839,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_31852.spec.fits,31852,3.0,1.3957337,1.3957337,1.373126,P,15.632459488684527,15.64391755716758,combined_line_oiii
CEERS__source_id_fof_08482,ceers-v4,ceers-v4_prism-clear_1345_3855.spec.fits,3855,3.0,1.3970088,1.3970088,1.3744898,G,37.071305491266536,47.820578267888095,combined_line_oiii
CEERS__source_id_fof_07825,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_27920.spec.fits,27920,3.0,1.5157964,1.5157964,1.5092216,P,25.284313962319292,36.127000351453866,combined_line_oiii
CEERS__source_id_fof_07854,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_4583.spec.fits,4583,3.0,1.5334687,1.5334687,1.3464518,P,37.37140607327003,34.91666785981734,combined_line_oiii
CEERS__source_id_fof_07855,ceers-ddt-v4,ceers-ddt-v4_prism-clear_2750_5336.spec.fits,5336,3.0,1.5428602,1.5428602,1.3291754,P,20.99250891964501,16.331222156820225,combined_line_oiii
