distance_group,srcid,grade,z_use,href
CEERS__source_id_fof_08138,1558,3.0,6.4347,sources/source_0000_CEERS__source_id_fof_08138.html
CEERS__source_id_fof_08424,3382,3.0,5.8701,sources/source_0001_CEERS__source_id_fof_08424.html
CEERS__source_id_fof_08542,4317,3.0,0.2841,sources/source_0002_CEERS__source_id_fof_08542.html
CEERS__source_id_fof_08387,3051,3.0,0.4624,sources/source_0003_CEERS__source_id_fof_08387.html
CEERS__source_id_fof_08566,45820,3.0,0.5048,sources/source_0004_CEERS__source_id_fof_08566.html
CEERS__source_id_fof_05961,5020,3.0,0.5091,sources/source_0005_CEERS__source_id_fof_05961.html
CEERS__source_id_fof_08499,40191,3.0,0.5385,sources/source_0006_CEERS__source_id_fof_08499.html
CEERS__source_id_fof_08668,7468,3.0,0.5414,sources/source_0007_CEERS__source_id_fof_08668.html
CEERS__source_id_fof_08666,7398,3.0,0.6469,sources/source_0008_CEERS__source_id_fof_08666.html
CEERS__source_id_fof_08546,43440,3.0,0.6469,sources/source_0009_CEERS__source_id_fof_08546.html
CEERS__source_id_fof_08587,4992,3.0,0.6533,sources/source_0010_CEERS__source_id_fof_08587.html
CEERS__source_id_fof_08663,7365,3.0,0.6579,sources/source_0011_CEERS__source_id_fof_08663.html
CEERS__source_id_fof_08664,7386,3.0,0.6658,sources/source_0012_CEERS__source_id_fof_08664.html
CEERS__source_id_fof_08675,7609,3.0,0.6683,sources/source_0013_CEERS__source_id_fof_08675.html
CEERS__source_id_fof_08550,4377,3.0,0.6698,sources/source_0014_CEERS__source_id_fof_08550.html
CEERS__source_id_fof_08560,156,3.0,0.6714,sources/source_0015_CEERS__source_id_fof_08560.html
CEERS__source_id_fof_08382,3027,3.0,0.6783,sources/source_0016_CEERS__source_id_fof_08382.html
CEERS__source_id_fof_08676,7662,3.0,0.6915,sources/source_0017_CEERS__source_id_fof_08676.html
CEERS__source_id_fof_07869,77416,3.0,0.6932,sources/source_0018_CEERS__source_id_fof_07869.html
CEERS__source_id_fof_08585,4985,3.0,0.7122,sources/source_0019_CEERS__source_id_fof_08585.html
CEERS__source_id_fof_08660,7299,3.0,0.7169,sources/source_0020_CEERS__source_id_fof_08660.html
CEERS__source_id_fof_07862,6623,3.0,0.7305,sources/source_0021_CEERS__source_id_fof_07862.html
CEERS__source_id_fof_08514,41002,3.0,0.7407,sources/source_0022_CEERS__source_id_fof_08514.html
CEERS__source_id_fof_08507,40686,3.0,0.7457,sources/source_0023_CEERS__source_id_fof_08507.html
CEERS__source_id_fof_08495,39974,3.0,0.7459,sources/source_0024_CEERS__source_id_fof_08495.html
CEERS__source_id_fof_08659,7244,3.0,0.7471,sources/source_0025_CEERS__source_id_fof_08659.html
